CMDLINE /home/nel/anaconda3/envs/caiman/bin/python3.7 memory.py
MEM 1.945312 1584631889.5524
MEM 29.863281 1584631889.6527
MEM 44.488281 1584631889.7530
MEM 47.324219 1584631889.8533
MEM 47.324219 1584631889.9535
MEM 47.324219 1584631890.0537
MEM 47.324219 1584631890.1539
MEM 49.398438 1584631890.2542
MEM 50.367188 1584631890.3544
MEM 50.367188 1584631890.4546
MEM 50.613281 1584631890.5548
MEM 51.546875 1584631890.6551
MEM 51.796875 1584631890.7553
MEM 51.796875 1584631890.8555
MEM 52.285156 1584631890.9558
MEM 52.535156 1584631891.0560
MEM 52.535156 1584631891.1562
MEM 52.644531 1584631891.2565
MEM 52.644531 1584631891.3567
MEM 70.023438 1584631891.4570
MEM 93.699219 1584631891.5573
MEM 96.804688 1584631891.6576
MEM 107.183594 1584631891.7578
MEM 109.695312 1584631891.8581
MEM 112.238281 1584631891.9584
MEM 113.921875 1584631892.0586
MEM 117.335938 1584631892.1589
MEM 117.777344 1584631892.2592
MEM 118.035156 1584631892.3594
MEM 118.710938 1584631892.4597
MEM 120.488281 1584631892.5599
MEM 121.707031 1584631892.6602
MEM 122.164062 1584631892.7604
MEM 123.589844 1584631892.8607
MEM 125.339844 1584631892.9609
MEM 126.382812 1584631893.0611
MEM 126.636719 1584631893.1614
MEM 136.980469 1584631893.2616
MEM 139.992188 1584631893.3619
MEM 139.992188 1584631893.4621
MEM 140.234375 1584631893.5623
MEM 140.234375 1584631893.6625
MEM 140.234375 1584631893.7628
MEM 142.125000 1584631893.8630
MEM 143.468750 1584631893.9633
MEM 143.925781 1584631894.0636
MEM 144.636719 1584631894.1639
MEM 145.230469 1584631894.2641
MEM 145.808594 1584631894.3644
MEM 146.097656 1584631894.4646
MEM 146.242188 1584631894.5649
MEM 146.406250 1584631894.6651
MEM 150.925781 1584631894.7654
MEM 151.605469 1584631894.8656
MEM 156.125000 1584631894.9659
MEM 163.230469 1584631895.0662
MEM 166.949219 1584631895.1665
MEM 167.566406 1584631895.2667
MEM 168.027344 1584631895.3669
MEM 168.683594 1584631895.4672
MEM 175.386719 1584631895.5675
MEM 181.695312 1584631895.6677
MEM 187.992188 1584631895.7680
MEM 194.519531 1584631895.8683
MEM 196.253906 1584631895.9686
MEM 196.960938 1584631896.0688
MEM 197.242188 1584631896.1691
MEM 197.242188 1584631896.2694
MEM 197.242188 1584631896.3696
MEM 197.242188 1584631896.4698
MEM 199.605469 1584631896.5701
MEM 205.601562 1584631896.6703
MEM 210.707031 1584631896.7706
MEM 213.722656 1584631896.8709
MEM 215.597656 1584631896.9711
MEM 219.679688 1584631897.0714
MEM 219.679688 1584631897.1716
MEM 220.003906 1584631897.2719
MEM 220.003906 1584631897.3721
MEM 220.003906 1584631897.4724
MEM 220.003906 1584631897.5726
MEM 220.183594 1584631897.6728
MEM 220.183594 1584631897.7730
MEM 220.183594 1584631897.8733
MEM 220.183594 1584631897.9735
MEM 220.183594 1584631898.0737
MEM 220.183594 1584631898.1740
MEM 220.183594 1584631898.2742
MEM 220.183594 1584631898.3745
MEM 220.183594 1584631898.4747
MEM 220.183594 1584631898.5749
MEM 220.183594 1584631898.6751
MEM 220.457031 1584631898.7754
MEM 220.457031 1584631898.8756
MEM 220.457031 1584631898.9758
MEM 220.457031 1584631899.0761
MEM 220.457031 1584631899.1763
MEM 220.457031 1584631899.2766
MEM 220.457031 1584631899.3768
MEM 220.710938 1584631899.4770
MEM 220.718750 1584631899.5772
MEM 220.718750 1584631899.6775
MEM 220.718750 1584631899.7777
MEM 220.718750 1584631899.8780
MEM 220.718750 1584631899.9782
MEM 220.718750 1584631900.0784
MEM 220.718750 1584631900.1787
MEM 220.972656 1584631900.2789
MEM 221.003906 1584631900.3792
MEM 221.003906 1584631900.4794
MEM 221.003906 1584631900.5797
MEM 221.003906 1584631900.6799
MEM 221.003906 1584631900.7801
MEM 221.003906 1584631900.8803
MEM 221.003906 1584631900.9806
MEM 221.003906 1584631901.0808
MEM 221.003906 1584631901.1810
MEM 221.003906 1584631901.2813
MEM 221.003906 1584631901.3815
MEM 221.003906 1584631901.4817
MEM 221.003906 1584631901.5820
MEM 221.003906 1584631901.6822
MEM 221.003906 1584631901.7824
MEM 221.003906 1584631901.8827
MEM 221.003906 1584631901.9829
MEM 221.003906 1584631902.0831
MEM 221.003906 1584631902.1833
MEM 221.003906 1584631902.2836
MEM 221.003906 1584631902.3838
MEM 221.003906 1584631902.4841
MEM 221.003906 1584631902.5843
MEM 221.003906 1584631902.6845
MEM 221.003906 1584631902.7847
MEM 221.285156 1584631902.8850
MEM 221.285156 1584631902.9852
MEM 221.285156 1584631903.0855
MEM 221.285156 1584631903.1857
MEM 221.285156 1584631903.2860
MEM 221.285156 1584631903.3862
MEM 221.285156 1584631903.4864
MEM 221.285156 1584631903.5867
MEM 221.285156 1584631903.6869
MEM 221.285156 1584631903.7871
MEM 221.285156 1584631903.8873
MEM 221.285156 1584631903.9876
MEM 221.285156 1584631904.0878
MEM 221.285156 1584631904.1880
MEM 221.285156 1584631904.2883
MEM 221.285156 1584631904.3884
MEM 221.285156 1584631904.4887
MEM 221.285156 1584631904.5889
MEM 221.285156 1584631904.6891
MEM 221.285156 1584631904.7894
MEM 221.285156 1584631904.8896
MEM 221.285156 1584631904.9898
MEM 221.285156 1584631905.0901
MEM 221.539062 1584631905.1903
MEM 221.539062 1584631905.2906
MEM 221.539062 1584631905.3908
MEM 221.539062 1584631905.4911
MEM 221.539062 1584631905.5913
MEM 221.539062 1584631905.6915
MEM 221.539062 1584631905.7918
MEM 221.539062 1584631905.8920
MEM 221.539062 1584631905.9922
MEM 221.539062 1584631906.0924
MEM 221.539062 1584631906.1927
MEM 221.539062 1584631906.2929
MEM 221.539062 1584631906.3931
MEM 221.539062 1584631906.4934
MEM 221.539062 1584631906.5937
MEM 221.539062 1584631906.6939
MEM 221.539062 1584631906.7941
MEM 221.539062 1584631906.8944
MEM 221.539062 1584631906.9946
MEM 221.539062 1584631907.0948
MEM 221.539062 1584631907.1950
MEM 221.539062 1584631907.2953
MEM 221.539062 1584631907.3955
MEM 221.539062 1584631907.4957
MEM 221.539062 1584631907.5960
MEM 221.539062 1584631907.6962
MEM 221.539062 1584631907.7964
MEM 221.539062 1584631907.8966
MEM 221.539062 1584631907.9969
MEM 221.539062 1584631908.0971
MEM 221.796875 1584631908.1973
MEM 221.796875 1584631908.2976
MEM 221.796875 1584631908.3978
MEM 221.796875 1584631908.4981
MEM 221.796875 1584631908.5983
MEM 221.796875 1584631908.6985
MEM 221.796875 1584631908.7987
MEM 221.796875 1584631908.8990
MEM 221.796875 1584631908.9992
MEM 222.132812 1584631909.0994
MEM 224.890625 1584631909.1997
MEM 225.144531 1584631909.2999
MEM 225.281250 1584631909.4001
MEM 225.281250 1584631909.5004
MEM 227.386719 1584631909.6006
MEM 229.578125 1584631909.7008
MEM 230.843750 1584631909.8011
MEM 231.785156 1584631909.9013
MEM 232.218750 1584631910.0016
MEM 233.214844 1584631910.1018
MEM 233.394531 1584631910.2021
MEM 233.781250 1584631910.3023
MEM 233.945312 1584631910.4026
MEM 234.007812 1584631910.5028
MEM 234.949219 1584631910.6030
MEM 235.593750 1584631910.7032
MEM 310.890625 1584631910.8036
MEM 330.199219 1584631910.9038
MEM 332.417969 1584631911.0041
MEM 335.074219 1584631911.1043
MEM 335.105469 1584631911.2046
MEM 336.386719 1584631911.3049
MEM 336.972656 1584631911.4051
MEM 338.367188 1584631911.5054
MEM 339.617188 1584631911.6056
MEM 340.121094 1584631911.7059
MEM 341.746094 1584631911.8062
MEM 342.562500 1584631911.9064
MEM 344.414062 1584631912.0067
MEM 346.093750 1584631912.1069
MEM 346.839844 1584631912.2072
MEM 347.351562 1584631912.3074
MEM 349.855469 1584631912.4077
MEM 351.855469 1584631912.5079
MEM 353.351562 1584631912.6082
MEM 356.058594 1584631912.7085
MEM 357.582031 1584631912.8088
MEM 359.414062 1584631912.9090
MEM 361.289062 1584631913.0093
MEM 361.289062 1584631913.1095
MEM 361.289062 1584631913.2097
MEM 361.523438 1584631913.3100
MEM 366.437500 1584631913.4102
MEM 367.417969 1584631913.5105
MEM 368.023438 1584631913.6107
MEM 368.781250 1584631913.7109
MEM 370.539062 1584631913.8112
MEM 373.535156 1584631913.9115
MEM 374.468750 1584631914.0118
MEM 376.425781 1584631914.1120
MEM 378.640625 1584631914.2123
MEM 380.441406 1584631914.3126
MEM 381.085938 1584631914.4128
MEM 382.640625 1584631914.5131
MEM 383.238281 1584631914.6133
MEM 384.507812 1584631914.7136
MEM 385.019531 1584631914.8138
MEM 387.410156 1584631914.9141
MEM 388.996094 1584631915.0143
MEM 390.035156 1584631915.1146
MEM 391.394531 1584631915.2149
MEM 392.000000 1584631915.3151
MEM 392.253906 1584631915.4153
MEM 393.828125 1584631915.5156
MEM 394.023438 1584631915.6158
MEM 394.281250 1584631915.7160
MEM 992.726562 1584631915.8163
MEM 1310.699219 1584631915.9166
MEM 1539.636719 1584631916.0169
MEM 1771.667969 1584631916.1172
MEM 1860.144531 1584631916.2175
MEM 1875.351562 1584631916.3178
MEM 1875.609375 1584631916.4181
MEM 1875.609375 1584631916.5184
MEM 1875.867188 1584631916.6187
MEM 1875.867188 1584631916.7190
MEM 1876.125000 1584631916.8193
MEM 1876.125000 1584631916.9196
